model,rmse_usd,mae_usd,mape,r2,directional_accuracy
ElasticNet,18627587.06006066,13738070.082082203,0.0089459161561708,0.9776611434774589,0.9536231884057971
RandomForest,62640365.25721739,44214906.420916155,0.03051833000079482,0.810494459536548,0.8840579710144928
ma7,94636555.3097692,76576427.04059282,0.05461975861989741,0.5110770828599718,0.5391304347826087
persistence,57708883.49214049,45174296.04312263,0.031183714995189127,0.7965381563121647,0.5333333333333334
